Year;ID_Unit;ID_UnitType;RegistrationNumber;UnitName;Location;RegularMembersTo6;RegularMembersTo15;RegularMembersTo18;RegularMembersTo26;RegularMembersFrom26;RegularMembers;MembersTo6;MembersTo15;MembersTo18;MembersTo26;MembersFrom26;Members
2019;23666;stredisko;213.04;středisko Mír Libušín;Libušín;12;43;6;6;32;99;12;43;6;6;32;99
2019;23672;stredisko;213.05;středisko Modrý Kruh Slaný;Slaný;8;92;12;17;18;147;8;92;12;17;18;147
2019;23681;stredisko;214.01;1. středisko Kolín;Kolín;9;73;10;16;32;140;9;73;10;16;32;140
2019;23689;stredisko;214.02;přístav Poutníci Kolín;Kolín 5;5;58;7;12;17;99;5;58;7;12;17;99
2019;23698;stredisko;214.04;středisko Starý Kolín;Starý Kolín;1;23;4;4;11;43;1;23;4;4;11;43
2019;23702;stredisko;214.05;středisko Červené Pečky;Červené Pečky;1;158;26;25;38;248;1;158;26;25;38;248
2019;23715;stredisko;214.07;středisko Ing. Ládi Nováka Český Brod;Český Brod;1;74;17;25;30;147;1;74;17;25;30;147
2019;23721;stredisko;214.09;přístav Slanečci Kolín;Kolín 2;4;41;7;9;20;81;4;41;7;9;21;82
2019;23729;stredisko;214.11;středisko Kouřim;Kouřim;3;44;7;20;22;96;3;44;7;20;22;96
2019;23737;stredisko;214.12;středisko Modrá želva Ratboř;Ratboř;0;52;15;10;28;105;0;52;15;10;28;105
2019;23746;stredisko;214.14;středisko Psohlavci Český Brod;Český Brod;6;127;17;14;22;186;6;127;17;14;22;186
2019;27138;stredisko;214.15;středisko Datel Kostelec nad Černými lesy;Kostelec nad Černými lesy;3;74;9;3;20;109;3;74;9;3;20;109
2019;23752;stredisko;214.19;středisko Plaňany;Plaňany;0;63;13;10;40;126;0;63;13;10;40;126
2019;23760;stredisko;215.01;středisko Kutná Hora;Kutná Hora 1;10;106;19;20;42;197;10;106;19;20;42;197
2019;23766;stredisko;215.02;středisko Čáslav;Čáslav;19;56;7;10;11;103;19;56;8;10;11;104
2019;23771;stredisko;215.04;přístav Dobré naděje Kutná Hora;Kutná Hora 1;12;40;7;8;22;89;12;41;7;8;22;90
2019;23777;stredisko;215.05;středisko Vrdy - Bučice;Vrdy - Dolní Bučice;0;30;4;8;41;83;0;30;4;8;41;83
2019;23783;stredisko;215.06;středisko Jana Roháče z Dubé a na Sioně Uhlířské Janovice;Uhlířské Janovice;6;55;1;4;22;88;6;55;1;4;22;88
2019;23789;stredisko;215.07;středisko Doubrava Ronov nad Doubravou;Ronov nad Doubravou;2;25;2;3;9;41;2;25;2;3;9;41
2019;23794;stredisko;216.01;středisko Mělník;Mělník 1;0;41;2;7;11;61;0;41;2;7;11;61
2019;23801;stredisko;216.03;středisko Kostelec nad Labem;Kostelec nad Labem;9;50;5;4;21;89;9;50;5;4;21;89
2019;23807;stredisko;216.04;středisko Lišák Neratovice;Neratovice;7;111;15;20;13;166;7;111;15;20;13;166
2019;23814;stredisko;216.07;přístav Modrá kotva Liběchov;Liběchov;4;26;3;3;18;54;4;26;3;3;18;54
2019;23821;stredisko;216.08;přístav Neratovice;Neratovice;0;63;14;18;43;138;0;63;14;18;43;138
2019;23829;stredisko;217.01;středisko Dakota Mladá Boleslav;Mladá Boleslav;0;48;7;9;11;75;0;48;7;9;11;75
2019;23837;stredisko;217.02;středisko Povodeň Benátky nad Jizerou;Benátky nad Jizerou 1;12;110;18;14;24;178;12;110;18;14;24;178
2019;23852;stredisko;217.08;středisko Mnichovo Hradiště;Mnichovo Hradiště;2;80;27;16;15;140;2;80;27;16;15;140
2019;23858;stredisko;217.10;přístav Mladá Boleslav;Mladá Boleslav;2;17;5;2;14;40;2;17;5;2;14;40
2019;23862;stredisko;217.11;středisko Svornost Bělá pod Bezdězem;Bělá pod Bezdězem;0;45;5;5;23;78;0;45;5;5;23;78
2019;23867;stredisko;218.01;středisko Cefeus Nymburk;Nymburk;0;57;2;13;16;88;0;57;2;13;16;88
2019;23873;stredisko;218.02;přístav Modrá flotila Nymburk;Nymburk 2;3;79;10;14;23;129;3;79;10;14;24;130
2019;23880;stredisko;218.03;středisko Lysá nad Labem;Lysá nad Labem;2;125;9;10;22;168;2;125;9;10;22;168
2019;23886;stredisko;218.04;středisko Městec Králové;Městec Králové;13;60;6;8;36;123;13;60;6;8;36;123
2019;23895;stredisko;218.07;středisko Krále Jiřího Poděbrady;Poděbrady 1;1;64;5;9;44;123;1;64;5;9;44;123
2019;23906;stredisko;218.09;středisko Sadská;Sadská;0;17;9;2;12;40;0;17;9;2;12;40
2019;23913;stredisko;218.10;středisko Krahujec Nymburk;Nymburk 2;0;70;15;19;30;134;0;70;15;19;30;134
2019;23920;stredisko;219.01;středisko VJAS Brandýs n. L.;Brandýs nad Labem;7;62;10;0;19;98;7;62;10;0;19;98
2019;23927;stredisko;219.02;středisko Br. Fandy Antoše Jirny;Jirny;1;58;8;9;19;95;1;58;8;9;19;95
2019;23931;stredisko;219.03;středisko Havran Klecany;Klecany;0;78;19;11;26;134;0;78;19;11;27;135
2019;23936;stredisko;219.04;středisko Willi Líbeznice;Líbeznice;2;126;20;21;29;198;2;126;20;21;31;200
2019;23945;stredisko;219.05;středisko Čelákovice;Čelákovice;0;58;17;16;15;106;0;58;17;16;15;106
2019;23951;stredisko;219.06;středisko Lípa Říčany;Říčany;15;184;26;24;75;324;15;184;26;24;77;326
2019;23961;stredisko;219.08;středisko Jiřího Bubáka Úvaly;Úvaly;0;66;16;15;15;112;0;66;16;15;15;112
2019;23967;stredisko;219.09;středisko Stará Boleslav;Stará Boleslav;12;87;21;7;15;142;12;87;21;7;15;142
2019;23973;stredisko;219.10;přístav RETRA Brandýs nad Labem;Předměřice nad Jizerou;1;46;7;7;13;74;1;46;7;7;13;74
2019;23978;stredisko;219.11;středisko Zápy;Zápy, pošta Brandýs nad Labem;0;47;5;8;5;65;0;47;5;8;5;65
2019;23988;stredisko;21A.01;středisko Skalka Mníšek pod Brdy;Mníšek pod Brdy;8;79;13;11;15;126;8;79;13;11;15;126
2019;23993;stredisko;21A.02;středisko Lesní Moudrost Dobřichovice;Dobřichovice;1;85;22;17;9;134;1;85;22;17;9;134
2019;23999;stredisko;21A.06;středisko Vltava Vrané nad Vltavou;Vrané nad Vltavou;0;68;14;6;21;109;0;72;16;6;22;116
2019;24006;stredisko;21A.07;přístav Dub Všenory;Všenory;0;22;6;4;5;37;0;22;6;4;5;37
2019;24010;stredisko;21A.08;středisko Uragan Zbraslav;Praha Zbraslav;0;143;25;21;45;234;0;143;25;24;58;250
2019;24027;stredisko;21A.13;středisko Černošice;252 28 Černošice;0;60;20;18;10;108;0;60;20;18;10;108
2019;24076;stredisko;21B.01;středisko Hiawatha Příbram;Příbram VII;12;137;17;18;32;216;12;137;17;18;32;216
2019;24046;stredisko;21B.02;středisko Clan Hiawatha Příbram;Příbram;5;39;18;16;34;112;5;39;18;16;34;112
2019;24064;stredisko;21B.04;středisko Rožmitál p. Tř.;Rožmitál p. Tř.;0;80;16;14;31;141;0;80;16;14;31;141
2019;24098;stredisko;21B.07;středisko Sedlčany;Sedlčany;1;48;6;11;20;86;1;48;6;11;20;86
2019;28864;stredisko;21B.08;středisko prof. Oliče Dobříš;Dobříš;0;150;10;17;25;202;0;150;10;17;25;202
2019;26148;stredisko;310.31;středisko Zlatá Růže Jindřichův Hradec;Jindřichův Hradec;1;104;12;21;49;187;1;104;12;21;49;187
2019;26163;stredisko;310.32;středisko Rožmberská růže Třeboň;Třeboň;1;88;8;12;27;136;1;88;8;12;27;136
2019;26314;stredisko;310.41;středisko Gáhál Písek;Písek;4;51;9;21;25;110;4;51;9;21;25;110
2019;26073;stredisko;311.01;středisko Zlatá stezka Prachatice;Prachatice;3;48;4;3;12;70;3;48;4;3;12;70
2019;26079;stredisko;311.02;středisko Vimperk;Horní Vltavice;0;28;8;6;9;51;0;28;8;6;9;51
2019;26085;stredisko;311.03;středisko Walden České Budějovice;České Budejovice;1;224;58;66;82;431;1;224;58;66;82;431
2019;26098;stredisko;311.04;středisko VAVÉHA České Budějovice;České Budějovice;6;318;36;56;70;486;6;318;36;56;71;487
2019;26110;stredisko;311.07;středisko Týn nad Vltavou;Týn nad Vltavou;0;47;11;10;19;87;0;47;11;10;19;87
2019;26115;stredisko;311.13;středisko Jantar Kaplice;Kaplice;0;6;1;3;15;25;0;6;1;3;15;25
2019;26140;stredisko;312.06;středisko Pod Kletí Holubov;Holubov;5;178;20;27;65;295;5;178;20;27;65;295
2019;26169;stredisko;313.03;přístav Dačice;Dačice;0;13;2;0;7;22;0;13;2;0;7;22
2019;26173;stredisko;313.04;středisko Slavonice;Slavonice;0;28;3;0;8;39;0;28;3;0;9;40
2019;26177;stredisko;313.08;středisko 13 klíčů Lomnice nad Lužnicí;Lomnice nad Lužnicí;2;45;2;11;15;75;2;45;2;11;15;75
2019;26183;stredisko;313.13;středisko Fidelis et Fortis Kamenice nad Lipou;Kamenice nad Lipou;0;67;10;17;22;116;0;68;10;17;23;118
2019;26194;stredisko;314.01;středisko Šipka Písek;Písek;0;67;6;12;47;132;0;67;6;12;47;132
2019;26203;stredisko;314.02;středisko Oheň života Písek;Písek;0;50;15;4;18;87;0;50;15;4;18;87
2019;26210;stredisko;314.03;středisko Stínadla Písek;Písek;0;50;10;10;13;83;0;50;10;10;13;83
2019;26215;stredisko;314.07;středisko Sedmička Milevsko;Milevsko;2;56;14;17;26;115;2;56;14;17;26;115
2019;26220;stredisko;314.08;středisko Blanice Protivín;Protivín;5;46;6;7;24;88;5;46;6;7;24;88
2019;26231;stredisko;316.01;středisko Strakonice;Strakonice;4;85;9;11;41;150;4;85;9;11;41;150
2019;26241;stredisko;316.02;středisko RNDr. Rudolfa Plajnera Volyně;Volyně;3;58;4;18;20;103;3;58;4;18;20;103
2019;26248;stredisko;316.04;středisko Vodňany;Vodňany;0;57;6;12;21;96;0;57;6;12;21;96
2019;26253;stredisko;317.01;středisko Kalich Tábor;Tábor;0;218;30;49;63;360;0;218;30;51;63;362
2019;26265;stredisko;317.03;středisko Černá růže Sezimovo Ústí;Sezimovo Ústí;6;65;9;10;21;111;6;65;9;10;21;111
2019;26271;stredisko;317.04;středisko Bechyně;Bechyně;0;19;1;1;16;37;0;19;1;1;16;37
2019;26276;stredisko;317.05;středisko Racek Veselí nad Lužnicí;Veselí nad Lužnicí 1;1;50;1;2;15;69;1;50;1;2;15;69
2019;26283;stredisko;317.07;středisko Borotín;Borotín;2;19;9;6;14;50;2;19;9;6;14;50
2019;26287;stredisko;317.09;středisko Planá nad Lužnicí;Planá nad Lužnicí;4;61;10;4;20;99;4;61;10;4;20;99
2019;26300;stredisko;317.13;přístav Třináctka Opařany;Opařany;1;100;9;19;32;161;1;100;9;19;32;161
2019;25342;stredisko;321.01;středisko Jiřinky Paroubkové Domažlice;Domažlice;6;81;12;24;51;174;6;81;12;24;51;174
2019;25348;stredisko;321.03;středisko A.B.S. Holýšov;Holýšov;0;71;15;13;23;122;0;71;15;13;23;122
2019;25352;stredisko;321.05;středisko Lípa Prapořiště;Kdyně;2;47;3;2;17;71;2;47;3;2;17;71
2019;25532;stredisko;321.07;středisko Tajfun Tachov;Tachov 1;0;45;7;0;14;66;0;45;7;0;14;66
2019;25356;stredisko;322.01;středisko Královák Klatovy;Klatovy;0;148;12;18;38;216;0;148;12;18;38;216
2019;25366;stredisko;322.02;středisko Prácheň;Horažďovice;1;45;8;18;33;105;1;45;8;18;33;105
2019;25370;stredisko;322.03;středisko Vydří stopa Sušice;Sušice;15;127;23;29;31;225;15;127;23;29;31;225
2019;25381;stredisko;322.04;středisko Jestřáb Pačejov;Pačejov;1;23;2;5;19;50;1;23;2;5;19;50
2019;25385;stredisko;322.05;středisko Javor Klatovy;Klatovy;1;32;10;8;29;80;1;32;10;8;29;80
2019;25395;stredisko;323.01;středisko Jožky Knappa Plzeň;Plzeň 1;14;128;25;19;60;246;14;128;25;19;61;247
2019;25402;stredisko;323.02;středisko Stopa Plzeň;Plzeň 1;3;216;15;25;47;306;3;217;15;25;49;309
2019;25412;stredisko;323.03;středisko 5. květen Plzeň;Plzeň;0;130;23;29;53;235;0;130;23;29;53;235
2019;25424;stredisko;323.04;středisko ICHTHYS Plzeň;Plzeň 12;3;193;35;44;47;322;3;193;36;44;47;323
2019;25431;stredisko;323.05;středisko Střela Plzeň;Plzeň 1;1;168;42;30;103;344;1;168;42;30;105;346
2019;25447;stredisko;323.06;středisko Krokodýl Tlučná;Tlučná;0;62;9;24;12;107;0;62;9;24;12;107
2019;25451;stredisko;323.07;středisko Limba Plzeň;Plzeň 1;1;65;11;16;16;109;1;65;11;16;16;109
2019;25527;stredisko;323.08;středisko Omaha Kralovice;Kralovice;0;20;4;4;27;55;0;20;4;4;27;55
2019;25455;stredisko;323.09;přístav Omaha Plzeň;Plzeň 1;1;107;14;25;28;175;1;107;14;25;28;175
2019;25463;stredisko;324.02;středisko Dr. Bečváře Přeštice;Přeštice;3;56;6;7;12;84;3;56;6;7;12;84
2019;25469;stredisko;324.03;středisko Palcát Dnešice;Dnešice;0;19;6;5;11;41;0;19;6;5;11;41
2019;25473;stredisko;324.04;středisko Příchovice;Přeštice;3;71;17;17;33;141;3;71;17;17;33;141
2019;25480;stredisko;324.05;středisko Zelený šíp Dobřany;Dobřany;0;84;4;13;19;120;0;84;4;13;19;120
2019;25486;stredisko;324.07;středisko Devětsil Spálené Poříčí;Spálené Poříčí;0;17;5;1;17;40;0;17;5;1;17;40
2019;25508;stredisko;326.01;středisko Rarášek Rokycany;Rokycany;20;79;13;6;26;144;20;79;13;6;27;145
2019;25518;stredisko;326.03;středisko Omaha Radnice;Radnice;5;43;14;12;20;94;5;43;14;12;20;94
2019;27561;stredisko;326.09;středisko Čertovka Zbiroh;Zbiroh;0;53;8;7;14;82;0;53;8;7;14;82
2019;25791;stredisko;411.01;středisko Šedého vlka Cheb;Cheb 2;1;4;0;0;24;29;1;4;0;0;24;29
2019;25797;stredisko;411.03;středisko Dakota Cheb;Cheb 2;0;42;3;2;18;65;0;42;3;2;18;65
2019;25804;stredisko;411.04;středisko Smrčina Aš;Aš 1;1;65;17;8;24;115;1;65;17;8;24;115
2019;25815;stredisko;411.06;středisko Stopa Mariánské Lázně;Mariánské Lázně;0;48;6;2;17;73;0;48;6;2;17;73
2019;25820;stredisko;411.07;středisko Vysoký kámen Luby u Chebu;Luby;1;20;0;0;16;37;1;20;0;0;16;37
2019;25825;stredisko;412.04;středisko Arnika Jáchymov;Jáchymov;0;3;2;2;7;14;0;3;2;2;7;14
2019;25829;stredisko;412.05;středisko Kompas Nejdek;Nejdek 1;0;14;5;8;11;38;0;14;5;8;11;38
2019;25834;stredisko;412.11;přístav ORION Karlovy Vary;Karlovy Vary;3;89;14;18;36;160;3;89;14;18;36;160
2019;25854;stredisko;413.04;středisko Jestřáb Chodov;Chodov u Karlových Var 1;0;28;4;5;12;49;0;28;4;5;12;49
2019;25860;stredisko;413.05;středisko Lípa Kynšperk nad Ohří;Kynšperk nad Ohří;1;23;1;2;22;49;1;23;1;2;22;49
2019;25867;stredisko;413.07;středisko Dýmka Habartov;Habartov;3;32;3;12;19;69;3;32;3;12;19;69
2019;25874;stredisko;413.09;středisko Arnika Horní Slavkov;Horní Slavkov;0;28;4;1;8;41;0;28;4;1;8;41
2019;25882;stredisko;413.10;středisko Jitřenka Loket;Loket;1;19;5;2;15;42;1;19;5;2;15;42
2019;26596;stredisko;421.01;středisko Úsvit Děčín;Děčín 2;1;86;8;17;29;141;1;86;8;17;29;141
2019;26601;stredisko;421.02;středisko Lužan Varnsdorf;Varnsdorf;1;32;10;7;15;65;1;32;10;7;15;65
2019;26605;stredisko;421.03;středisko Rumburk;Rumburk;2;15;1;4;11;33;2;15;1;4;11;33
2019;27459;stredisko;421.04;středisko Sojčáci Děčín;Děčín 9;0;54;5;9;16;84;0;54;5;9;16;84
2019;26608;stredisko;421.08;středisko Seveřan Šluknov;Šluknov;0;1;5;2;0;8;0;1;5;4;1;11
2019;26614;stredisko;422.01;středisko Český lev Chomutov;Chomutov;10;79;17;12;37;155;10;79;17;12;37;155
2019;26624;stredisko;422.03;středisko Br. Zubra Klášterec nad Ohří;Klášterec nad Ohří;0;18;3;8;3;32;0;18;3;8;3;32
2019;26629;stredisko;422.04;středisko Hraničář Jirkov;Jirkov;5;52;4;13;10;84;5;52;4;13;10;84
2019;26635;stredisko;422.05;středisko Úhošť Kadaň;Kadaň;7;40;4;1;12;64;7;40;4;1;12;64
2019;26642;stredisko;422.06;středisko Žatec;Žatec;2;38;1;10;12;63;2;38;1;10;12;63
2019;26652;stredisko;423.01;středisko Nereus Terezín;Terezín;1;22;9;12;26;70;1;22;9;12;26;70
2019;26658;stredisko;423.02;středisko Říp Roudnice nad Labem;Roudnice nad Labem;10;91;17;18;30;166;10;91;17;18;30;166
2019;26664;stredisko;423.03;středisko Brána Lovosice;Lovosice 2;0;30;10;7;15;62;0;30;10;7;15;62
2019;26670;stredisko;423.04;středisko Libochovice;Libochovice;0;23;0;0;10;33;0;23;0;0;10;33
2019;26678;stredisko;423.05;středisko Štětí;Štětí;2;22;0;2;4;30;2;22;0;2;4;30
2019;26682;stredisko;423.06;středisko Radobýl Litoměřice;Litoměřice;7;145;17;16;48;233;7;145;17;16;49;234
2019;26713;stredisko;425.01;středisko Oheň Most;Most 1;29;113;12;10;28;192;29;113;12;10;28;192
2019;26723;stredisko;425.02;středisko Perun Litvínov;Litvínov 8;5;22;7;9;20;63;5;22;7;9;21;64
2019;26727;stredisko;425.03;středisko Louny;Louny;0;59;6;0;21;86;0;59;6;0;21;86
2019;26732;stredisko;426.01;středisko Doubravka Teplice;Teplice 1;0;24;2;3;32;61;0;24;2;3;32;61
2019;26738;stredisko;426.02;středisko Dvojka Teplice;Teplice;6;118;26;8;36;194;6;118;26;8;36;194
2019;26752;stredisko;427.01;středisko Ústí nad Labem;Ústí nad Labem;0;52;9;18;41;120;0;52;9;18;41;120
2019;26758;stredisko;427.02;středisko Šíp Neštěmice;Ústí nad Labem;9;53;12;14;22;110;9;53;12;15;28;117
2019;25552;stredisko;511.01;středisko Řetěz Česká Lípa;Česká Lípa;4;49;14;18;57;142;4;49;14;18;58;143
2019;25566;stredisko;511.02;středisko Klíč Nový Bor;Nový Bor;1;74;8;10;30;123;1;74;8;10;30;123
2019;25572;stredisko;511.04;středisko Doksy;Doksy;3;63;11;7;20;104;3;63;11;7;20;104
2019;25578;stredisko;511.05;přístav Ralsko Mimoň;Mimoň;2;93;11;11;19;136;2;93;11;11;19;136
2019;25591;stredisko;512.01;středisko Jablonec nad Nisou;Jablonec nad Nisou 5;14;154;17;23;80;288;14;155;17;23;82;291
2019;25612;stredisko;513.01;středisko Ještěd Liberec;Liberec 8;1;39;6;5;40;91;1;39;6;5;40;91
2019;25620;stredisko;513.04;středisko Stopa Liberec;Liberec 14;13;131;17;22;43;226;13;131;17;22;44;227
2019;25630;stredisko;513.05;středisko Mustang Liberec;Liberec 14;0;98;21;26;52;197;0;98;21;26;52;197
2019;25640;stredisko;513.07;přístav Flotila Liberec;Liberec 25;0;26;6;10;36;78;0;26;6;10;36;78
2019;25647;stredisko;513.09;středisko Šurean Liberec;Liberec 30;0;66;15;24;19;124;0;66;15;24;19;124
2019;25652;stredisko;513.10;přístav Maják Liberec;Liberec;1;62;5;11;14;93;1;62;5;11;15;94
